Rank,Team Name,Entry UID,Training Run Time (minutes),Validation AUROC,Validation AUPRC,Validation Accuracy,Validation F-measure,Validation Challenge Metric,Validation Run Time (minutes),CPSC Test AUROC,CPSC Test AUPRC,CPSC Test Accuracy,CPSC Test F-measure,CPSC Test Challenge Metric,CPSC Test Run Time (minutes),G12EC Test AUROC,G12EC Test AUPRC,G12EC Test Accuracy,G12EC Test F-measure,G12EC Test Challenge Metric,G12EC Test Run Time (minutes),Undisclosed Test AUROC,Undisclosed Test AUPRC,Undisclosed Test Accuracy,Undisclosed Test F-measure,Undisclosed Test Challenge Metric,Undisclosed Test Run Time (minutes),UMich Test AUROC,UMich Test AUPRC,UMich Test Accuracy,UMich Test F-measure,UMich Test Challenge Metric,UMich Test Run Time (minutes)
1,ISIBrno-AIMT,ISIBrnoAIMT_48,1630,0.896,0.414,0.294,0.399,0.624,3,0.953,0.785,0.411,0.203,0.695,1,0.87,0.41,0.246,0.393,0.604,2,0.912,0.587,0.334,0.46,0.529,4,0.872,0.437,0.306,0.406,0.586,8
1,DSAIL_SNU,DSAILSNU_594_1,2435,0.914,0.444,0.18,0.397,0.58,3,0.95,0.799,0.177,0.164,0.556,1,0.896,0.466,0.165,0.406,0.576,2,0.924,0.604,0.262,0.412,0.572,4,0.911,0.486,0.229,0.432,0.588,9
2,USST_Med,USSTMed_406,75,0.902,0.433,0.201,0.417,0.583,5,0.946,0.802,0.231,0.204,0.561,2,0.889,0.452,0.178,0.423,0.582,2,0.92,0.607,0.156,0.424,0.416,4,0.893,0.481,0.231,0.434,0.544,8
2,CeZIS,CeZIS_417,786,0.894,0.535,0.354,0.509,0.68,26,0.972,0.873,0.597,0.762,0.863,6,0.867,0.522,0.264,0.492,0.645,21,0.909,0.636,0.245,0.449,0.343,19,0.865,0.522,0.298,0.494,0.542,67
4,NIMA,NIMA_597,599,0.924,0.484,0.329,0.442,0.594,5,0.958,0.813,0.599,0.208,0.752,1,0.907,0.488,0.242,0.445,0.568,4,0.892,0.566,0.338,0.373,0.395,8,0.902,0.481,0.288,0.443,0.525,15
4,DataLA_NUS,DataLANUS_551,1423,0.891,0.467,0.34,0.436,0.622,40,0.952,0.799,0.443,0.193,0.656,7,0.873,0.47,0.293,0.429,0.614,27,0.907,0.56,0.29,0.405,0.419,51,0.877,0.478,0.335,0.431,0.519,113
4,cardiochallenger,cardiochallenger_90_1,2497,0.909,0.477,0.357,0.421,0.641,7,0.96,0.84,0.526,0.192,0.784,3,0.881,0.474,0.292,0.407,0.61,3,0.85,0.464,0.196,0.275,0.407,6,0.892,0.48,0.306,0.402,0.513,12
7,Dr_Cubic,DrCubic_273,953,0.913,0.515,0.341,0.461,0.643,3,0.963,0.841,0.556,0.208,0.808,1,0.894,0.51,0.266,0.447,0.611,3,0.774,0.526,0.297,0.358,0.3,5,0.884,0.52,0.299,0.449,0.538,11
8,prna,prna_376,1369,0.893,0.425,0.318,0.393,0.549,228,0.919,0.765,0.524,0.179,0.625,65,0.883,0.426,0.247,0.388,0.526,147,0.914,0.562,0.37,0.379,0.455,290,0.887,0.44,0.301,0.401,0.488,533
9,snu_adsl,snuadsl_572,1429,0.919,0.467,0.399,0.508,0.61,4,0.953,0.816,0.686,0.778,0.764,1,0.905,0.516,0.307,0.514,0.583,4,0.925,0.618,0.346,0.389,0.386,6,0.912,0.516,0.316,0.466,0.482,12
10,ibmtPeakyFinders,ibmtPeakyFinders_371,2323,0.859,0.355,0.083,0.309,0.474,658,0.907,0.663,0.065,0.141,0.359,146,0.848,0.345,0.082,0.315,0.494,543,0.872,0.488,0.031,0.304,0.389,931,0.856,0.369,0.115,0.33,0.498,2085
10,ami_kagoshima,amikagoshima_387,2421,0.911,0.475,0.379,0.471,0.593,44,0.951,0.812,0.489,0.187,0.732,14,0.88,0.506,0.346,0.496,0.58,32,0.901,0.569,0.358,0.368,0.37,63,0.896,0.501,0.346,0.463,0.476,128
10,iadi-ecg,iadiecg_500,2495,0.897,0.411,0.257,0.371,0.577,27,0.933,0.766,0.341,0.179,0.642,6,0.879,0.442,0.209,0.393,0.56,20,0.854,0.471,0.325,0.278,0.326,39,0.872,0.432,0.253,0.38,0.508,82
13,BUTTeam,BUTTeam_313_2,1879,0.873,0.33,0.216,0.289,0.507,9,0.842,0.542,0.13,0.08,0.278,2,0.861,0.346,0.221,0.302,0.537,7,0.865,0.454,0.254,0.293,0.329,10,0.866,0.376,0.276,0.31,0.499,25
13,Polimi_1,Polimi1_147,2631,0.818,0.359,0.278,0.42,0.577,13,0.922,0.668,0.436,0.191,0.711,3,0.809,0.358,0.224,0.415,0.55,12,0.825,0.458,0.266,0.338,0.346,22,0.823,0.376,0.249,0.421,0.477,37
15,SMS+1,SMS1_504,1148,0.894,0.437,0.274,0.423,0.553,127,0.945,0.776,0.494,0.189,0.714,33,0.887,0.424,0.207,0.4,0.534,94,0.866,0.493,0.271,0.318,0.319,176,0.884,0.443,0.236,0.403,0.463,360
16,csu_anying,csuanying_462_1,1912,0.894,0.468,0.371,0.466,0.588,4,0.952,0.801,0.632,0.282,0.795,1,0.891,0.442,0.292,0.443,0.549,4,0.825,0.393,0.214,0.21,0.356,11,0.851,0.394,0.265,0.359,0.421,15
17,UMCU,UMCU_495,1591,0.914,0.434,0.167,0.375,0.54,1,0.936,0.755,0.148,0.161,0.458,1,0.899,0.462,0.168,0.39,0.554,1,0.912,0.585,0.096,0.314,0.135,1,0.903,0.493,0.178,0.394,0.479,2
17,Gio_new_img,Gionewimg_297,3166,0.845,0.314,0.026,0.275,0.454,11,0.906,0.692,0.021,0.14,0.355,2,0.841,0.322,0.025,0.286,0.468,8,0.861,0.46,0.052,0.278,0.356,16,0.838,0.342,0.03,0.3,0.395,26
19,METU-19,METU19_305,2346,0.87,0.386,0.257,0.406,0.574,15,0.934,0.672,0.444,0.179,0.74,4,0.874,0.383,0.194,0.435,0.549,10,0.79,0.397,0.298,0.218,0.175,18,0.84,0.36,0.211,0.373,0.415,39
20,UoB_HBC,UoBHBC_345,309,0.92,0.454,0,0.196,0.385,26,0.963,0.816,0,0.063,0.25,8,0.904,0.46,0,0.2,0.413,17,0.902,0.562,0,0.207,0.255,33,0.897,0.47,0,0.208,0.37,69
20,itaca-UPV,itacaUPV_438_1,1929,0.805,0.274,0.009,0.229,0.402,63,0.847,0.497,0.005,0.091,0.264,14,0.767,0.275,0.01,0.236,0.429,45,0.821,0.41,0.004,0.233,0.243,91,0.793,0.303,0.011,0.242,0.369,169
22,HaoWan_AIeC,chadsheep_183,1085,0.906,0.422,0.268,0.402,0.584,31,0.942,0.76,0.265,0.167,0.595,7,0.897,0.462,0.26,0.418,0.58,23,0.776,0.363,0.094,0.182,-0.039,49,0.862,0.401,0.267,0.361,0.415,97
22,AIRCAS_MEL1,AIRCASMEL1_501,1095,0.922,0.479,0.343,0.458,0.568,2,0.946,0.8,0.491,0.183,0.673,1,0.905,0.486,0.289,0.441,0.55,1,0.903,0.57,0.199,0.319,-0.072,2,0.891,0.453,0.271,0.408,0.428,5
24,DSC,DSC_492_1,874,0.675,0.192,0.181,0.293,0.375,579,0.765,0.418,0.195,0.142,0.433,129,0.654,0.201,0.169,0.3,0.364,440,0.706,0.329,0.292,0.318,0.324,834,0.615,0.16,0.156,0.244,0.283,1594
24,HeartlyAI,HeartlyAI_570,1239,0.848,0.354,0.226,0.34,0.351,11,0.913,0.705,0.225,0.19,0.438,2,0.842,0.373,0.218,0.355,0.343,8,0.855,0.509,0.186,0.331,0.231,16,0.866,0.403,0.209,0.376,0.322,36
26,Eagles,Eagles_202_1,824,0.737,0.165,0,0.195,0.372,355,0.814,0.349,0.001,0.093,0.262,79,0.673,0.163,0,0.195,0.398,283,0.697,0.229,0.001,0.178,0.188,468,0.692,0.169,0,0.196,0.322,1008
26,Biomedic2ai,Biomedic2ai_54,1894,0.881,0.392,0.331,0.322,0.388,12,0.943,0.737,0.426,0.215,0.67,3,0.882,0.418,0.308,0.332,0.355,8,0.907,0.571,0.369,0.313,0.282,18,0.879,0.419,0.325,0.32,0.266,32
28,BiSP_Lab,BiSPLab_19,4060,0.5,0.058,0,0.096,0.342,1,0.5,0.133,0,0.062,0.186,1,0.5,0.065,0,0.105,0.375,2,0.5,0.103,0,0.116,0.204,3,0.5,0.075,0,0.114,0.316,6
29,AADAConglomerate,AADAConglomerate_136,68,0.467,0.058,0,0.079,0.319,1,0.499,0.136,0,0.038,0.159,1,0.509,0.065,0,0.086,0.355,1,0.502,0.102,0,0.073,0.115,1,0.495,0.075,0,0.082,0.25,3
29,Care4MyHeart,Care4MyHeart_489,1948,0.853,0.298,0.229,0.311,0.392,53,0.929,0.697,0.297,0.165,0.564,11,0.829,0.306,0.193,0.312,0.361,38,0.839,0.392,0.119,0.263,0.085,76,0.845,0.331,0.185,0.318,0.233,146
31,Sunset,Sunset_359,2630,0.819,0.306,0.001,0.274,0.397,53,0.831,0.54,0.003,0.111,0.324,12,0.81,0.295,0.001,0.277,0.414,38,0.784,0.353,0.002,0.15,-0.057,90,0.778,0.298,0.002,0.262,0.272,176
32,BitScattered,BitScattered_316,1085,0.907,0.426,0.384,0.355,0.442,16,0.942,0.791,0.545,0.245,0.719,3,0.891,0.422,0.351,0.359,0.418,12,0.697,0.22,0.047,0.097,-0.306,25,0.841,0.357,0.283,0.288,0.182,48
32,CardioIQ,CardioIQ_49,2784,0.756,0.404,0.424,0.326,0.291,1,0.901,0.74,0.681,0.259,0.533,1,0.755,0.398,0.349,0.323,0.253,1,0.761,0.454,0.3,0.263,-0.037,1,0.731,0.362,0.299,0.284,0.113,2
34,Cordi-Ak,CordiAk_302,504,0.747,0.169,0.143,0.095,0.153,141,0.63,0.239,0.142,0.077,0.168,29,0.702,0.162,0.14,0.08,0.154,103,0.652,0.184,0.021,0.026,-0.399,139,0.701,0.167,0.157,0.071,0.001,353
35,heartMAASters,heartMAASters_58,75,0.677,0.139,0.168,0.073,-0.22,4,0.584,0.178,0.195,0.013,-0.38,1,0.664,0.146,0.148,0.074,-0.195,2,0.641,0.185,0.005,0.019,-0.695,5,0.646,0.148,0.119,0.055,-0.4,10
36,easyG,easyG_125,1301,0.53,0.063,0.076,0.003,-0.318,484,0.513,0.146,0.114,0.008,-0.335,85,0.506,0.071,0.062,0.002,-0.302,278,0.505,0.113,0.002,0,-0.719,475,0.527,0.083,0.015,0.004,-0.508,978
37,WEAIT,WEAIT_161,1019,0.506,0.06,0.117,0,-0.404,1,0.466,0.128,0.238,0,-0.439,1,0.503,0.066,0.084,0,-0.383,1,0.518,0.111,0.004,0,-0.848,1,0.506,0.076,0.024,0,-0.6,2
38,CardiOUS,CardiOUS_55,4,0.5,0.058,0.117,0,-0.404,1,0.5,0.133,0.238,0,-0.439,1,0.5,0.065,0.084,0,-0.383,1,0.5,0.103,0.004,0,-0.848,1,0.5,0.075,0.024,0,-0.6,1
