Team Name,Entry UID,"Training Run 
Time (minutes)","Validation
AUROC","Validation
AUPRC","Validation
Accuracy","Validation
F-measure","Validation
Challenge Metric","Validation 
Run Time (minutes)","CPSC Test
AUROC","CPSC Test
AUPRC","CPSC Test
Accuracy","CPSC Test
F-measure","CPSC Test
Challenge Metric","CPSC Test 
Run Time","G12EC Test
AUROC","G12EC Test
AUPRC","G12EC Test
Accuracy","G12EC Test
F-measure","G12EC Test
Challenge Metric","G12EC Test
Run Time","Undisclosed Test
AUROC","Undisclosed Test
AUPRC","Undisclosed Test
Accuracy","Undisclosed Test
F-measure","Undisclosed Test
Challenge Metric","Undisclosed Test
Run Time","UMich Test
AUROC","UMich Test
AUPRC","UMich Test
Accuracy","UMich Test
F-measure","UMich Test
Challenge Metric","UMich Test
Run Time"
AizipECGteam,AizipECGteam_503,2083,0.927,0.469,0.249,0.41,0.602,3,0.926,0.776,0.446,0.167,0.609,1,0.907,0.482,0.18,0.398,0.586,2,0.93,0.601,0.257,0.368,0.451,6,0.922,0.496,0.245,0.414,0.552,10
AIHealth,AIHealth_45,2,0.552,0.071,0.083,0.077,-0.059,1,0.567,0.18,0.079,0.04,-0.084,1,0.546,0.079,0.08,0.081,-0.049,1,0.526,0.11,0.053,0.083,-0.23,1,0.536,0.087,0.089,0.075,-0.164,1
AIHealthcare,AIHealthcare_242,31,0.94,0.57,0.405,0.53,0.653,1,0.974,0.867,0.625,0.233,0.763,1,0.93,0.557,0.334,0.537,0.638,1,0.915,0.613,0.182,0.387,0.099,1,0.932,0.554,0.327,0.526,0.515,3
Alpha,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BERCLab,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BIM_Team,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BJUT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
bric,bric_515,673,0.794,0.254,0,0.143,0.337,23,0.792,0.454,0,0.06,0.204,5,0.779,0.258,0,0.147,0.366,18,0.759,0.295,0,0.121,0.175,34,0.77,0.248,0,0.157,0.321,72
Brown Biomed AI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CardioLux,CardioLux_304,35,0.5,0.058,0.117,0,-0.404,5,0.5,0.133,0.238,0,-0.439,1,0.5,0.065,0.084,0,-0.383,3,0.5,0.103,0.004,0,-0.848,7,0.5,0.075,0.024,0,-0.6,13
CinCSEM,CinCSEM_295,677,0.789,0.264,0.222,0.148,0.11,28,0.776,0.464,0.243,0.169,0.183,8,0.781,0.273,0.213,0.151,0.103,18,0.809,0.378,0.309,0.194,0.068,24,0.786,0.276,0.253,0.165,0.103,61
ConnectedHealth,ConnectedHealth_155,1351,0.899,0.408,0.294,0.384,0.533,10,0.948,0.755,0.368,0.177,0.662,3,0.872,0.409,0.27,0.375,0.515,6,0.907,0.548,0.333,0.319,0.374,12,0.885,0.435,0.324,0.39,0.482,25
CookieMonster,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CQUPT_Dontwant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CVBLab_UNIVPM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECG_CQUPT_GF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECUTeam,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F-team,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GenieEnterprise,GenieEnterprise_498,525,0.578,0.105,0,0.106,0.346,1,0.593,0.263,0,0.064,0.186,1,0.57,0.106,0,0.113,0.38,1,0.678,0.253,0,0.117,0.207,1,0.583,0.125,0,0.127,0.323,2
GFTeam,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HeartBeats,HeartBeats_561,512,0.939,0.518,0.147,0.39,0.594,5,0.963,0.803,0.323,0.165,0.678,1,0.925,0.522,0.102,0.386,0.581,4,0.916,0.596,0.097,0.356,0.452,8,0.93,0.52,0.134,0.404,0.534,17
HIT-CS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lead-AI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Leicester-Fox,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LINC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
matFCT,matFCT_428,1141,0.798,0.261,0.141,0.221,0.425,13,0.837,0.571,0.111,0.151,0.429,2,0.776,0.256,0.134,0.216,0.418,10,0.833,0.404,0.212,0.255,0.421,19,0.781,0.268,0.151,0.235,0.439,37
Medics,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northern Lights,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PhysioNauts,PhysioNauts_484,2078,0.922,0.451,0.197,0.388,0.594,8,0.949,0.791,0.295,0.158,0.643,2,0.906,0.459,0.15,0.387,0.575,6,0.776,0.36,0.016,0.221,0.071,12,N/A,N/A,N/A,N/A,N/A,N/A
PLRI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Proton,Proton_377,2396,0.901,0.429,0.303,0.414,0.54,2,0.95,0.787,0.351,0.184,0.63,1,0.892,0.459,0.282,0.421,0.528,1,0.933,0.61,0.359,0.433,0.451,1,0.897,0.473,0.35,0.44,0.513,3
Revenger,Revenger_449,2483,0.905,0.45,0.385,0.387,0.48,2,0.952,0.773,0.468,0.19,0.655,1,0.855,0.457,0.355,0.41,0.453,1,0.858,0.515,0.344,0.288,0.201,3,0.878,0.458,0.358,0.383,0.332,5
SASVIN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SDSVLS,SDSVLS_518,916,0.796,0.227,0.001,0.182,0.385,14,0.783,0.442,0.001,0.088,0.245,4,0.757,0.233,0.001,0.19,0.409,9,0.82,0.36,0.022,0.213,0.369,17,0.779,0.258,0.006,0.212,0.375,35
SG_Cardio,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SharifHeart,SharifHeart_600,1221,0.794,0.265,0.06,0.21,0.398,2,0.827,0.546,0.068,0.119,0.359,1,0.762,0.266,0.051,0.216,0.402,2,0.826,0.437,0.086,0.292,0.356,3,0.787,0.303,0.069,0.244,0.425,8
SJTU_PAMI_Lab,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
skylark,skylark_247,27,0.896,0.418,0.199,0.37,0.532,3,0.94,0.755,0.234,0.169,0.572,1,0.881,0.411,0.177,0.373,0.52,3,0.91,0.547,0.231,0.344,0.32,5,0.883,0.429,0.217,0.382,0.474,11
Spring_Team,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STRAP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TachyAI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TeamLeo,TeamLeo_365,271,0.768,0.186,0.003,0.213,0.4,1070,0.819,0.462,0.005,0.11,0.278,236,0.763,0.198,0.004,0.226,0.43,825,0.814,0.317,0.013,0.231,0.298,1586,0.77,0.218,0.011,0.234,0.373,3096
TRIAD_Tulane,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UIDTUNAM_422,UIDTUNAM_422_2,1946,0.866,0.374,0.271,0.363,0.524,4,0.944,0.782,0.386,0.191,0.711,1,0.826,0.368,0.221,0.361,0.492,3,0.851,0.449,0.213,0.306,0.271,7,0.814,0.309,0.228,0.302,0.327,14
UTAR_Team,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Whitaker's Lab,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
