Rank	Mean Challenge score (test set)	Submission ID	Team Name	Challenge score (REDS-II validation set)	AUROC (REDS-II validation set)	AUPRC (REDS-II validation set)	Accuracy (REDS-II validation set)	F-measure (REDS-II validation set)	Challenge score (REDS-II test set)	AUROC (REDS-II test set)	AUPRC (REDS-II test set)	Accuracy (REDS-II test set)	F-measure (REDS-II test set)	Challenge score (SaMi-Trop 3 test set)	AUROC (SaMi-Trop 3 test set)	AUPRC (SaMi-Trop 3 test set)	Accuracy (SaMi-Trop 3 test set)	F-measure (SaMi-Trop 3 test set)	Challenge score (ELSA-Brasil test set)	AUROC (ELSA-Brasil test set)	AUPRC (ELSA-Brasil test set)	Accuracy (ELSA-Brasil test set)	F-measure (ELSA-Brasil test set)
1	0.249	H10	Ahus AIM	0.388	0.761	0.267	0.980	0.023	0.339	0.735	0.135	0.979	0.078	0.323	0.768	0.152	0.980	0.102	0.086	0.502	0.030	0.976	0.046
2	0.245	H25	Ahus AIM	0.430	0.767	0.279	0.980	0.040	0.318	0.744	0.135	0.978	0.074	0.328	0.761	0.139	0.980	0.103	0.089	0.527	0.043	0.978	0.062
3	0.227	H29	Chagas_detector	0.222	0.640	0.081	0.951	0.141	0.293	0.712	0.230	0.973	0.247	0.257	0.696	0.094	0.934	0.142	0.132	0.576	0.047	0.976	0.061
4	0.209	H9	ElectroDoChagas	0.324	0.696	0.184	0.980	0.010	0.254	0.704	0.118	0.980	0.028	0.262	0.726	0.101	0.979	0.073	0.111	0.523	0.035	0.979	0.020
5	0.199	H21	ElectroDoChagas	0.280	0.678	0.143	0.967	0.208	0.304	0.652	0.215	0.961	0.197	0.199	0.675	0.102	0.933	0.111	0.093	0.534	0.038	0.960	0.046
6	0.173	H16	AIMED	0.219	0.629	0.096	0.656	0.059	0.232	0.663	0.174	0.690	0.068	0.224	0.638	0.091	0.631	0.056	0.064	0.526	0.024	0.958	0.033
7	0.164	H19	AIMED	0.204	0.633	0.110	0.615	0.058	0.218	0.655	0.074	0.629	0.062	0.210	0.627	0.061	0.623	0.054	0.064	0.505	0.026	0.970	0.029
8	0.150	H6	DEbuggers	0.359	0.712	0.163	0.958	0.240	0.293	0.697	0.105	0.918	0.159	0.050	0.500	0.021	0.979	0.000	0.107	0.555	0.034	0.949	0.062
9	0.078	H34	OpenHeart	0.062	0.548	0.030	0.033	0.040	0.082	0.544	0.031	0.034	0.039	0.071	0.540	0.027	0.068	0.039	0.082	0.530	0.024	0.024	0.040
10	0.050	H12	RISMU-hack	0.050	0.500	0.021	0.979	0.000	0.050	0.500	0.020	0.980	0.000	0.050	0.500	0.021	0.979	0.000	0.050	0.500	0.020	0.980	0.000
10	0.050	H31	Ephemeris Labs	0.050	0.500	0.021	0.763	0.038	0.050	0.500	0.020	0.752	0.039	0.050	0.500	0.021	0.648	0.040	0.050	0.500	0.020	0.783	0.034