dx,SNOMED code,Abbreviation
1st degree av block,270492004,IAVB
2nd degree av block,195042002,IIAVB
accelerated idioventricular rhythm,61277005,AIVR
accelerated junctional rhythm,426664006,AJR
acute myocardial ischemia,413444003,AMIs
anterior ischemia,426434006,AnMIs
anterior myocardial infarction,54329005,AnMI
atrial fibrillation,164889003,AF
atrial fibrillation and flutter,195080001,AFAFL
atrial flutter,164890007,AFL
atrial hypertrophy,195126007,AH
atrial pacing pattern,251268003,AP
atrial tachycardia,713422000,ATach
av block,233917008,AVB
blocked premature atrial contractionÂ ,251170000,BPAC
brady tachy syndrome,74615001,BTS
bradycardia,426627000,Brady
brugada syndrome,418818005,Brug
bundle branch block,6374002,BBB
chronic atrial fibrillation,426749004,CAF
chronic myocardial ischemia,413844008,CMIs
chronic rheumatic pericarditis,78069008,CRPC
complete heart block,27885002,CHB
complete right bundle branch block,713427006,CRBBB
decreased qt interval,77867006,SQT
diffuse intraventricular block,82226007,DIVB
early repolarization,428417006,ERe
ecg artefacts,251143007,ART
ectopic rhythm,29320008,ER
electrical alternans,423863005,EA
high t voltage,251259000,HTV
incomplete left bundle branch block,251120003,ILBBB
incomplete right bundle branch block,713426002,IRBBB
indeterminate cardiac axis,251200008,ICA
inferior ischaemia,425419005,IIs
inferior st segment depression,704997005,ISTD
isorhythmic dissociation,50799005,IAVD
junctional escape,426995002,JE
junctional premature complex,251164006,JPC
junctional tachycardia,426648003,JTach
lateral ischaemia,425623009,LIs
left anterior fascicular block,445118002,LAnFB
left atrial abnormality,253352002,LAA
left atrial enlargement,67741000119109,LAE
left atrial hypertrophy,446813000,LAH
left axis deviation,39732003,LAD
left bundle branch block,164909002,LBBB
left posterior fascicular block,445211001,LPFB
left ventricular hypertrophy,164873001,LVH
left ventricular strain,370365005,LVS
low qrs voltages,251146004,LQRSV
low qrs voltages in the limb leads,251147008,LQRSVLL
low qrs voltages in the precordial leads,251148003,LQRSP
mobitz type 2 second degree atrioventricular block,28189009,MoII
mobitz type i wenckebach atrioventricular block,54016002,MoI
multifocal atrial tachycardia,713423005,MATach
myocardial infarction,164865005,MI
myocardial ischemia,164861001,MIs
non-specific interatrial conduction block,65778007,NSIACB
nonspecific intraventricular conduction disorder,698252002,NSIVCB
nonspecific st t abnormality,428750005,NSSTTA
old myocardial infarction,164867002,OldMI
pacing rhythm,10370003,PR
paroxysmal supraventricular tachycardia,67198005,PSVT
partial atrioventricular block 2:1,164903001,PAVB21
premature atrial contraction,284470004,PAC
premature ventricular complexes,164884008,PVC
premature ventricular contractions,427172004,PVC
prolonged qt interval,111975006,LQT
qwave abnormal,164917005,QAb
r wave abnormal,164921003,RAb
right atrial abnormality,253339007,RAAb
right atrial hypertrophy,446358003,RAH
right axis deviation,47665007,RAD
right bundle branch block,59118001,RBBB
right ventricular hypertrophy,89792004,RVH
s t changes,55930002,STC
shortened pr interval,49578007,SPRI
sinus arrhythmia,427393009,SA
sinus bradycardia,426177001,SB
sinus rhythm,426783006,SNR
sinus tachycardia,427084000,STach
st depression,429622005,STD
st elevation,164931005,STE
st interval abnormal,164930006,STIAb
supraventricular premature beats,63593006,SVPB
supraventricular tachycardia,426761007,SVT
suspect arm ecg leads reversed,251139008,ALR
t wave abnormal,164934002,TAb
t wave inversion,59931005,TInv
tall u wave,251242005,UTall
u wave abnormal,164937009,UAb
ventricular bigeminy,11157007,VBig
ventricular ectopic beats,17338001,VEB
ventricular escape beat,75532003,VEsB
ventricular escape rhythm,81898007,VEsR
ventricular fibrillation,164896001,VF
ventricular flutter,111288001,VFL
ventricular hypertrophy,266249003,VH
ventricular pacing pattern,251266004,VPP
ventricular pre excitation,195060002,VPEx
ventricular tachycardia,164895002,VTach
ventricular trigeminy,251180001,VTrig
wandering atrial pacemaker,195101003,WAP
wolff parkinson white pattern,74390002,WPW
